Category,Question,cleaned_question,Cluster
Multi-step Inquiries,How does the Fi Collar notify me if my dog escapes? Can I customize alerts?,brand product notify dog escapes customize alerts,2
Follow-ups,You mentioned Fi uses GPS—does it work in remote areas?,mentioned brand uses gps—does work remote areas,2
Follow-ups,You said the Fi Collar is durable—can it withstand chewing?,said brand product durable—can withstand chewing,1
Follow-ups,You listed Fis battery life—what factors affect it?,listed brand battery life—what factors affect,1
Follow-ups,You said the Fi Collar can be tracked in real-time—how often does it update?,said brand product tracked realtime—how often update,2
Follow-ups,You mentioned Fi has activity tracking—does it show calories burned?,mentioned brand activity tracking—does show calories burned,2
Follow-ups,You said the Fi Collar connects to Wi-Fi—can I use multiple networks?,said brand product connects wifi—can use multiple networks,2
Follow-ups,You listed Fis escape alerts—how fast does it notify me?,listed brand escape alerts—how fast notify,2
Follow-ups,You said the Fi Collar can share location—how many people can access it?,said brand product share location—how many people access,2
Follow-ups,You mentioned Fis geofencing—can I set multiple safe zones?,mentioned brand geofencing—can set multiple safe zones,2
Follow-ups,You said Fi supports multiple pets—how does it track each separately?,said brand supports multiple pets—how track separately,2
Order Status,Can you check my Fi order? I need to change my shipping address.,check brand order need change shipping address,3
Order Status,My Fi order is delayed—can you give me an update?,brand order delayed—can give update,3
Order Status,I ordered a replacement Fi module—how long will it take to ship?,ordered replacement brand module—how long take ship,3
Order Status,Can I track my Fi order in real-time?,track brand order realtime,3
Order Status,Does Fi allow order cancellations before shipping?,brand allow order cancellations shipping,3
Escalation & Handoff,My Fi Collar isnt tracking properly—what should I do?,brand product isnt tracking properly—what,3
Escalation & Handoff,The wrong size Fi Collar was sent—can I exchange it?,wrong size brand product sent—can exchange,3
Escalation & Handoff,My Fi Collars battery isnt holding a charge—can I get a replacement?,brand product battery isnt holding charge—can get replacement,1
Escalation & Handoff,The Fi app isnt working for me—can you escalate my case?,brand app isnt working me—can escalate case,3
Escalation & Handoff,My Fi Collar stopped updating GPS—can I speak to a specialist?,brand product stopped updating gps—can speak specialist,3
Error Handling,Does Fi offer a solar-powered GPS collar?,brand offer solarpowered gps product,2
Error Handling,Can I buy a Fi Collar with built-in heart rate tracking?,buy brand product builtin heart rate tracking,2
Error Handling,Is there a Fi Collar model that lets my dog talk back?,brand product model lets dog talk back,2
Error Handling,Do you sell Fi Collars for horses?,sell brand product horses,4
Error Handling,Is there a Fi Collar that also dispenses treats?,brand product also dispenses treats,4
